cleaned_text,emotion
way plug us unless go converter,negative
good case excellent value,positive
great jawbone,positive
mic great,positive
jiggle plug get line right get decent volume,negative
several dozen several hundred contacts imagine fun sending one one,negative
needless say wasted money,negative
waste money time,negative
sound quality great,positive
impressed going original battery extended battery,positive
two seperated mere 5 ft started notice excessive static garbled sound headset,negative
design odd ear clip comfortable,negative
highly recommend one blue tooth phone,positive
far good,positive
works great,positive
clicks place way makes wonder long mechanism would last,negative
went motorolas website followed directions could get pair,negative
commercials misleading,negative
yet run new battery two bars thats three days without charging,positive
bought mother problem battery,negative
great pocket pc phone combination,positive
ive owned phone 7 months say best mobile phone ive,positive
didnt think instructions provided helpful,negative
people couldnt hear talk pull earphone talk phone,negative
doesnt hold charge,negative
simple little phone use breakage unacceptible,negative
product ideal people like whose ears sensitive,positive
unusable moving car freeway speed,negative
two years left contract hate phone,negative
kept well,positive
poor talk time performance,negative
case great works fine 680,positive
worthless product,negative
great camera thats 2mp pics nice clear great picture quality,positive
impressed product,negative
nice headset priced right,positive
hear garbage audio,negative
excellent bluetooth headset,positive
right mind gon na buy battery,negative
arguing verizon regarding dropped calls returned phones two days,negative
case seems well made,positive
disappointed battery,negative
loud enough doesnt turn like,negative
good protection make phone bulky,positive
usable keyboard actually turns pda realworld useful machine instead neat gadget,positive
phone pretty sturdy ive never large problems,positive
disappointed,negative
happy 510 complaints one regarding sound quality end,positive
buttons bad,negative
essentially forget microsofts tech support,negative
really recommend faceplates since looks nice elegant cool,positive
headphones great find think perhaps best purchase ive made last several years seriously,positive
buy different phone,negative
hold phone particular angle party hear clearly,negative
one big drawback mp3 player buttons phones front cover let pause skip songs lock seconds,negative
week later activated suddenly died,negative
feels comfortable headsets wear glasses gets way sometimes,positive
great ipods,positive
mic doesnt work,negative
even bmw 3 series fairly quiet trouble hearing person saying,negative
nice docking station home work,positive
beautiful phone,positive
love product,positive
great little item,positive
love phone handy lot features,positive
wear everyday holds well,positive
good bargain,negative
well packaged arrived time works intended,positive
battery runs quickly,negative
item worked great broke 6 months use,negative
headsets easy use everyone loves,positive
phone works great,positive
construction headsets poor,negative
product costs much one expect work far better greater ease thing,negative
made sturdy,positive
worked great,positive
ear buds play music one ear,negative
plan use car forget,negative
found product waaay big,negative
im disappointed decision,negative
integrated seamlessly motorola razr phone,positive
buyer beware could flush money right toilet,negative
definitely bargain,positive
price good free shipping good purchase,positive
received supposedly new motorola 375 apparently match phone charger,negative
prosgood camera nice pictures also cool styles like black white,positive
thats huge design flaw unless im using correctly dont think case,negative
purcashed car charger work,negative
sound quality end excellent use headset call wife ask wife use headset call 2,positive
phone slim light display beautiful,positive
little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,positive
great product fast shipping,positive
absolutely great,positive
keyboard nice compromise full qwerty basic cell phone number keypad,positive
got phone around end may im completely unhappy,negative
comfortable ear,positive
winner us,positive
setup couldnt simpler,positive
ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably,positive
could get strong enough signal,negative
iam pleased purchase,positive
bad quality,negative
gets job done,positive
great audio,positive
basically service bad,negative
work cell phone plug set charger,negative
ive bluetooth weeks really like,positive
bt headset disapoinment,negative
small dont even realize getting used,positive
accompanied software almost brilliant,positive
headset works great packaged nicely avoid damage,positive
buyerbe careful,negative
majority logitech earbud headsets failed,negative
good stuff price,positive
headset works peachykeen,positive
house getting dropped coverage upstairs coverage basement,negative
waste,negative
several different 2 minute calls experienced 5 drops area 5 bars,negative
happy item,negative
disappointed,negative
phone takes forever charge like 2 5 hours literally,negative
got phone reccomendation relative im glad,positive
